caldt,sprtrn
01/03/2000,-0.009549
01/04/2000,-0.038345
01/05/2000,0.001922
01/06/2000,0.000956
01/07/2000,0.027090
01/10/2000,0.011190
01/11/2000,-0.013063
01/12/2000,-0.004386
01/13/2000,0.012170
01/14/2000,0.010671
01/18/2000,-0.006832
01/19/2000,0.000522
01/20/2000,-0.007095
01/21/2000,-0.002912
01/24/2000,-0.027634
01/25/2000,0.006065
01/26/2000,-0.004213
01/27/2000,-0.003938
01/28/2000,-0.027457
01/31/2000,0.025218
02/01/2000,0.010628
02/02/2000,-0.000114
02/03/2000,0.011248
02/04/2000,-0.000421
02/07/2000,-0.000091
02/08/2000,0.012273
02/09/2000,-0.020822
02/10/2000,0.003634
02/11/2000,-0.020969
02/14/2000,0.002033
02/15/2000,0.008713
02/16/2000,-0.010256
02/17/2000,0.000425
02/18/2000,-0.030376
02/22/2000,0.004517
02/23/2000,0.006301
02/24/2000,-0.005336
02/25/2000,-0.014829
02/28/2000,0.011017
02/29/2000,0.013627
03/01/2000,0.009346
03/02/2000,0.001863
03/03/2000,0.019837
03/06/2000,-0.012695
03/07/2000,-0.025631
03/08/2000,0.008173
03/09/2000,0.025602
03/10/2000,-0.004723
03/13/2000,-0.008207
03/14/2000,-0.017685
03/15/2000,0.024280
03/16/2000,0.047639
03/17/2000,0.004114
03/20/2000,-0.005353
03/21/2000,0.025566
03/22/2000,0.004532
03/23/2000,0.017799
03/24/2000,0.000072
03/27/2000,-0.002357
03/28/2000,-0.010585
03/29/2000,0.000524
03/30/2000,-0.013656
03/31/2000,0.007164
04/03/2000,0.004931
04/04/2000,-0.007464
04/05/2000,-0.004924
04/06/2000,0.009392
04/07/2000,0.009998
04/10/2000,-0.007841
04/11/2000,-0.002572
04/12/2000,-0.022271
04/13/2000,-0.018171
04/14/2000,-0.058278
04/17/2000,0.033084
04/18/2000,0.028663
04/19/2000,-0.009808
04/20/2000,0.004953
04/24/2000,-0.003262
04/25/2000,0.033276
04/26/2000,-0.011134
04/27/2000,0.002690
04/28/2000,-0.008526
05/01/2000,0.010892
05/02/2000,-0.014957
05/03/2000,-0.021566
05/04/2000,-0.003908
05/05/2000,0.016360
05/08/2000,-0.005905
05/09/2000,-0.008447
05/10/2000,-0.020600
05/11/2000,0.017902
05/12/2000,0.009341
05/15/2000,0.022098
05/16/2000,0.009419
05/17/2000,-0.012442
05/18/2000,-0.007315
05/19/2000,-0.021055
05/22/2000,-0.004428
05/23/2000,-0.019176
05/24/2000,0.018335
05/25/2000,-0.012530
05/26/2000,-0.002533
05/30/2000,0.032242
05/31/2000,-0.001301
06/01/2000,0.019858
06/02/2000,0.019637
06/05/2000,-0.006519
06/06/2000,-0.006671
06/07/2000,0.009274
06/08/2000,-0.006586
06/09/2000,-0.003229
06/12/2000,-0.007516
06/13/2000,0.016210
06/14/2000,0.000749
06/15/2000,0.005569
06/16/2000,-0.009650
06/19/2000,0.014708
06/20/2000,-0.006763
06/21/2000,0.002155
06/22/2000,-0.018220
06/23/2000,-0.007368
06/26/2000,0.009594
06/27/2000,-0.003271
06/28/2000,0.002944
06/29/2000,-0.008544
06/30/2000,0.008465
07/03/2000,0.010271
07/05/2000,-0.015862
07/06/2000,0.007219
07/07/2000,0.015261
07/10/2000,-0.002218
07/11/2000,0.003565
07/12/2000,0.008130
07/13/2000,0.001956
07/14/2000,0.009453
07/17/2000,0.000338
07/18/2000,-0.011089
07/19/2000,-0.007886
07/20/2000,0.009184
07/21/2000,-0.010284
07/24/2000,-0.010742
07/25/2000,0.006952
07/26/2000,-0.014955
07/27/2000,-0.001928
07/28/2000,-0.020509
07/31/2000,0.007705
08/01/2000,0.005081
08/02/2000,0.000417
08/03/2000,0.009634
08/04/2000,0.007139
08/07/2000,0.011204
08/08/2000,0.002352
08/09/2000,-0.006697
08/10/2000,-0.008568
08/11/2000,0.007937
08/14/2000,0.013398
08/15/2000,-0.004780
08/16/2000,-0.003085
08/17/2000,0.010961
08/18/2000,-0.002908
08/21/2000,0.005202
08/22/2000,-0.000900
08/23/2000,0.005233
08/24/2000,0.001554
08/25/2000,-0.001233
08/28/2000,0.005072
08/29/2000,-0.002807
08/30/2000,-0.004802
08/31/2000,0.010043
09/01/2000,0.002036
09/05/2000,-0.009002
09/06/2000,-0.009840
09/07/2000,0.006876
09/08/2000,-0.005331
09/11/2000,-0.003506
09/12/2000,-0.004882
09/13/2000,0.001970
09/14/2000,-0.002721
09/15/2000,-0.010170
09/18/2000,-0.014531
09/19/2000,0.010654
09/20/2000,-0.005863
09/21/2000,-0.001578
09/22/2000,-0.000228
09/25/2000,-0.006689
09/26/2000,-0.008214
09/27/2000,-0.000448
09/28/2000,0.022235
09/29/2000,-0.014935
10/02/2000,-0.000195
10/03/2000,-0.006803
10/04/2000,0.005510
10/05/2000,0.001367
10/06/2000,-0.019000
10/09/2000,-0.004940
10/10/2000,-0.010706
10/11/2000,-0.016171
10/12/2000,-0.025509
10/13/2000,0.033381
10/16/2000,0.000327
10/17/2000,-0.017932
10/18/2000,-0.005808
10/19/2000,0.034743
10/20/2000,0.005883
10/23/2000,-0.000823
10/24/2000,0.001684
10/25/2000,-0.023767
10/26/2000,-0.000337
10/27/2000,0.011096
10/30/2000,0.013830
10/31/2000,0.021978
11/01/2000,-0.005723
11/02/2000,0.004996
11/03/2000,-0.001141
11/06/2000,0.003855
11/07/2000,-0.000223
11/08/2000,-0.015777
11/09/2000,-0.006486
11/10/2000,-0.024398
11/13/2000,-0.010776
11/14/2000,0.023452
11/15/2000,0.004960
11/16/2000,-0.012584
11/17/2000,-0.003352
11/20/2000,-0.018352
11/21/2000,0.003523
11/22/2000,-0.018548
11/24/2000,0.014678
11/27/2000,0.005366
11/28/2000,-0.009548
11/29/2000,0.004371
11/30/2000,-0.020105
12/01/2000,0.000213
12/04/2000,0.007406
12/05/2000,0.038922
12/06/2000,-0.018220
12/07/2000,-0.005853
12/08/2000,0.019605
12/11/2000,0.007526
12/12/2000,-0.006535
12/13/2000,-0.008161
12/14/2000,-0.014015
12/15/2000,-0.021463
12/18/2000,0.008071
12/19/2000,-0.012958
12/20/2000,-0.031296
12/21/2000,0.008002
12/22/2000,0.024403
12/26/2000,0.007060
12/27/2000,0.010440
12/28/2000,0.003988
12/29/2000,-0.010448
01/02/2001,-0.028032
01/03/2001,0.050099
01/04/2001,-0.010552
01/05/2001,-0.026242
01/08/2001,-0.001918
01/09/2001,0.003812
01/10/2001,0.009586
01/11/2001,0.010318
01/12/2001,-0.006406
01/16/2001,0.006319
01/17/2001,0.002126
01/18/2001,0.013915
01/19/2001,-0.004028
01/22/2001,0.000268
01/23/2001,0.013032
01/24/2001,0.002867
01/25/2001,-0.004977
01/26/2001,-0.001886
01/29/2001,0.006805
01/30/2001,0.007008
01/31/2001,-0.005620
02/01/2001,0.005461
02/02/2001,-0.017474
02/05/2001,0.003587
02/06/2001,-0.001514
02/07/2001,-0.008408
02/08/2001,-0.006235
02/09/2001,-0.013336
02/12/2001,0.011827
02/13/2001,-0.008652
02/14/2001,-0.002184
02/15/2001,0.008124
02/16/2001,-0.018905
02/20/2001,-0.017357
02/21/2001,-0.018508
02/22/2001,-0.001952
02/23/2001,-0.005555
02/26/2001,0.017490
02/27/2001,-0.007660
02/28/2001,-0.014309
03/01/2001,0.001040
03/02/2001,-0.005680
03/05/2001,0.005858
03/06/2001,0.009981
03/07/2001,0.006452
03/08/2001,0.002259
03/09/2001,-0.024764
03/12/2001,-0.043181
03/13/2001,0.014829
03/14/2001,-0.025842
03/15/2001,0.005871
03/16/2001,-0.019624
03/19/2001,0.017627
03/20/2001,-0.024077
03/21/2001,-0.017924
03/22/2001,-0.004064
03/23/2001,0.019909
03/26/2001,0.011282
03/27/2001,0.025575
03/28/2001,-0.024430
03/29/2001,-0.004630
03/30/2001,0.010784
04/02/2001,-0.012462
04/03/2001,-0.034393
04/04/2001,-0.002901
04/05/2001,0.043680
04/06/2001,-0.019984
04/09/2001,0.008117
04/10/2001,0.027066
04/11/2001,-0.002131
04/12/2001,0.015104
04/16/2001,-0.003228
04/17/2001,0.010282
04/18/2001,0.038890
04/19/2001,0.012551
04/20/2001,-0.008551
04/23/2001,-0.014980
04/24/2001,-0.012161
04/25/2001,0.015941
04/26/2001,0.004696
04/27/2001,0.015010
04/30/2001,-0.002865
05/01/2001,0.013590
05/02/2001,0.000782
05/03/2001,-0.014873
05/04/2001,0.014440
05/07/2001,-0.002447
05/08/2001,-0.001828
05/09/2001,-0.004488
05/10/2001,-0.000287
05/11/2001,-0.007577
05/14/2001,0.002609
05/15/2001,0.000416
05/16/2001,0.028453
05/17/2001,0.002724
05/18/2001,0.002693
05/21/2001,0.016154
05/22/2001,-0.002628
05/23/2001,-0.015526
05/24/2001,0.003196
05/25/2001,-0.011816
05/29/2001,-0.007794
05/30/2001,-0.015655
05/31/2001,0.006202
06/01/2001,0.003862
06/04/2001,0.005108
06/05/2001,0.012990
06/06/2001,-0.010549
06/07/2001,0.005457
06/08/2001,-0.009397
06/11/2001,-0.008356
06/12/2001,0.001164
06/13/2001,-0.011347
06/14/2001,-0.017502
06/15/2001,-0.004517
06/18/2001,-0.004883
06/19/2001,0.003434
06/20/2001,0.008709
06/21/2001,0.011364
06/22/2001,-0.009450
06/25/2001,-0.005509
06/26/2001,-0.001510
06/27/2001,-0.004676
06/28/2001,0.012493
06/29/2001,-0.001452
07/02/2001,0.010037
07/03/2001,-0.001827
07/05/2001,-0.012321
07/06/2001,-0.023498
07/09/2001,0.006879
07/10/2001,-0.014398
07/11/2001,-0.001134
07/12/2001,0.023691
07/13/2001,0.006241
07/16/2001,-0.010883
07/17/2001,0.009971
07/18/2001,-0.005542
07/19/2001,0.006053
07/20/2001,-0.003432
07/23/2001,-0.016369
07/24/2001,-0.016272
07/25/2001,0.016080
07/26/2001,0.010449
07/27/2001,0.002402
07/30/2001,-0.001078
07/31/2001,0.005571
08/01/2001,0.003880
08/02/2001,0.003964
08/03/2001,-0.005243
08/06/2001,-0.011422
08/07/2001,0.003265
08/08/2001,-0.017328
08/09/2001,-0.000084
08/10/2001,0.005687
08/13/2001,0.000949
08/14/2001,-0.003828
08/15/2001,-0.007339
08/16/2001,0.003090
08/17/2001,-0.016663
08/20/2001,0.008124
08/21/2001,-0.012079
08/22/2001,0.006956
08/23/2001,-0.002763
08/24/2001,0.019654
08/27/2001,-0.004827
08/28/2001,-0.015010
08/29/2001,-0.011115
08/30/2001,-0.017038
08/31/2001,0.004030
09/04/2001,-0.000565
09/05/2001,-0.001059
09/06/2001,-0.022390
09/07/2001,-0.018637
09/10/2001,0.006226
09/17/2001,-0.049216
09/18/2001,-0.005805
09/19/2001,-0.016112
09/20/2001,-0.031060
09/21/2001,-0.019034
09/24/2001,0.038983
09/25/2001,0.008790
09/26/2001,-0.005167
09/27/2001,0.011489
09/28/2001,0.021922
10/01/2001,-0.002296
10/02/2001,0.012306
10/03/2001,0.019927
10/04/2001,-0.002471
10/05/2001,0.001636
10/08/2001,-0.008344
10/09/2001,-0.005356
10/10/2001,0.022938
10/11/2001,0.015208
10/12/2001,-0.005267
10/15/2001,-0.001530
10/16/2001,0.006936
10/17/2001,-0.018633
10/18/2001,-0.007873
10/19/2001,0.004557
10/22/2001,0.015296
10/23/2001,-0.004698
10/24/2001,0.000387
10/25/2001,0.013721
10/26/2001,0.004109
10/29/2001,-0.023818
10/30/2001,-0.017166
10/31/2001,-0.000009
11/01/2001,0.022948
11/02/2001,0.002860
11/05/2001,0.014386
11/06/2001,0.014526
11/07/2001,-0.002735
11/08/2001,0.002456
11/09/2001,0.001582
11/12/2001,-0.001767
11/13/2001,0.018563
11/14/2001,0.001861
11/15/2001,0.000903
11/16/2001,-0.003143
11/19/2001,0.010899
11/20/2001,-0.007298
11/21/2001,-0.004927
11/23/2001,0.011706
11/26/2001,0.006155
11/27/2001,-0.006843
11/28/2001,-0.018251
11/29/2001,0.010350
11/30/2001,-0.000658
12/03/2001,-0.008381
12/04/2001,0.013187
12/05/2001,0.022318
12/06/2001,-0.002777
12/07/2001,-0.007531
12/10/2001,-0.015868
12/11/2001,-0.002781
12/12/2001,0.000273
12/13/2001,-0.015558
12/14/2001,0.003314
12/17/2001,0.010035
12/18/2001,0.007546
12/19/2001,0.005810
12/20/2001,-0.008377
12/21/2001,0.004351
12/24/2001,-0.000210
12/26/2001,0.004124
12/27/2001,0.006752
12/28/2001,0.003362
12/31/2001,-0.011145
01/02/2002,0.005740
01/03/2002,0.009180
01/04/2002,0.006213
01/07/2002,-0.006499
01/08/2002,-0.003588
01/09/2002,-0.004799
01/10/2002,0.001221
01/11/2002,-0.009468
01/14/2002,-0.006276
01/15/2002,0.006834
01/16/2002,-0.016245
01/17/2002,0.010030
01/18/2002,-0.009922
01/22/2002,-0.007334
01/23/2002,0.007925
01/24/2002,0.003519
01/25/2002,0.000998
01/28/2002,-0.000194
01/29/2002,-0.028613
01/30/2002,0.011748
01/31/2002,0.014934
02/01/2002,-0.007078
02/04/2002,-0.024737
02/05/2002,-0.004039
02/06/2002,-0.005972
02/07/2002,-0.003083
02/08/2002,0.014859
02/11/2002,0.014340
02/12/2002,-0.003993
02/13/2002,0.009941
02/14/2002,-0.001815
02/15/2002,-0.011017
02/19/2002,-0.018874
02/20/2002,0.013514
02/21/2002,-0.015510
02/22/2002,0.008224
02/25/2002,0.017975
