temp,year,week,hour
1,2013,0,0
1,2013,0,1
1,2013,0,2
1,2013,0,3
1,2013,0,4
1,2013,0,5
0,2013,0,6
-2,2013,0,7
-2,2013,0,8
0,2013,0,9
0,2013,0,10
0,2013,0,11
-1,2013,0,12
-1,2013,0,13
0,2013,0,14
0,2013,0,15
2,2013,0,16
3,2013,0,17
4,2013,0,18
6,2013,0,19
7,2013,0,20
7,2013,0,21
6,2013,0,22
4,2013,0,23
1,2013,0,0
0,2013,0,1
0,2013,0,2
-1,2013,0,3
-1,2013,0,4
-1,2013,0,5
-1,2013,0,6
-1,2013,0,7
-1,2013,0,8
-1,2013,0,9
0,2013,0,10
0,2013,0,11
0,2013,0,12
-1,2013,0,13
1,2013,0,14
4,2013,0,15
7,2013,0,16
8,2013,0,17
10,2013,0,18
11,2013,0,19
11,2013,0,20
10,2013,0,21
10,2013,0,22
9,2013,0,23
9,2013,0,0
9,2013,0,1
9,2013,0,2
8,2013,0,3
8,2013,0,4
8,2013,0,5
7,2013,0,6
7,2013,0,7
7,2013,0,8
8,2013,0,9
8,2013,0,10
9,2013,0,11
9,2013,0,12
9,2013,0,13
8,2013,0,14
8,2013,0,15
8,2013,0,16
9,2013,0,17
9,2013,0,18
10,2013,0,19
10,2013,0,20
10,2013,0,21
10,2013,0,22
10,2013,0,23
10,2013,0,0
10,2013,0,1
10,2013,0,2
10,2013,0,3
10,2013,0,4
10,2013,0,5
8,2013,0,6
7,2013,0,7
7,2013,0,8
7,2013,0,9
7,2013,0,10
7,2013,0,11
7,2013,0,12
5,2013,0,13
5,2013,0,14
5,2013,0,15
5,2013,0,16
6,2013,0,17
7,2013,0,18
6,2013,0,19
6,2013,0,20
6,2013,0,21
5,2013,0,22
4,2013,0,23
4,2013,0,0
4,2013,0,1
3,2013,0,2
3,2013,0,3
3,2013,0,4
3,2013,0,5
3,2013,0,6
3,2013,0,7
3,2013,0,8
3,2013,0,9
3,2013,0,10
3,2013,0,11
2,2013,0,12
2,2013,0,13
3,2013,0,14
3,2013,0,15
4,2013,0,16
5,2013,0,17
5,2013,0,18
6,2013,0,19
6,2013,0,20
6,2013,0,21
5,2013,0,22
4,2013,0,23
2,2013,0,0
2,2013,0,1
1,2013,0,2
1,2013,0,3
1,2013,0,4
1,2013,0,5
0,2013,0,6
-2,2013,0,7
-2,2013,0,8
-1,2013,0,9
-1,2013,0,10
-1,2013,0,11
-1,2013,0,12
-1,2013,0,13
0,2013,0,14
2,2013,0,15
4,2013,0,16
6,2013,0,17
8,2013,0,18
9,2013,0,19
9,2013,0,20
9,2013,0,21
8,2013,0,22
5,2013,0,23
4,2013,0,0
3,2013,0,1
1,2013,0,2
0,2013,0,3
0,2013,0,4
0,2013,0,5
0,2013,0,6
0,2013,0,7
-1,2013,0,8
-1,2013,0,9
-1,2013,0,10
-1,2013,0,11
-2,2013,0,12
-1,2013,0,13
0,2013,0,14
2,2013,0,15
4,2013,0,16
6,2013,0,17
7,2013,0,18
8,2013,0,19
8,2013,0,20
8,2013,0,21
8,2013,0,22
8,2013,0,23
7,2013,1,0
6,2013,1,1
5,2013,1,2
